id,name,ORCID,org,IDAF,Publisher,IDPS
AUTH_ROKOES,Robert J. Koestler,http://orcid.org/0000-0001-5433-4899,,,,
AUTH_ROKUSZ,Robert Kuszinger,http://orcid.org/0000-0001-8089-470X,,,,
AUTH_ROLASA,Rosa Lasaponara,http://orcid.org/0000-0002-1287-646X,,,,
AUTH_ROREUC,Robin Reucher,,,,,
AUTH_RUHAYH,Ruth Hayhoe,http://orcid.org/0000-0003-2271-9721,,,,
AUTH_RYWATA,Ryota Watanabe,,,,,
AUTH_SAETIE,Samuel Etienne,http://orcid.org/0000-0003-3998-0467,,,,
AUTH_SAKHUN,Saritpong Khunsong,,,,,
AUTH_SAKIM,Samnang Kim,,,,,
AUTH_SAKLAS,Sarah Klassen,http://orcid.org/0000-0001-5110-713X,,,,
AUTH_SALEE,Sang Kook Lee,http://orcid.org/0000-0002-6353-3782,,,,
AUTH_SAPHOU,Sambath Phou,http://orcid.org/0009-0009-7183-5228,,,,
AUTH_SASAKH,Sakada Sakhoeun,,,,,
AUTH_SASARU,Sambath Sarun,,,,,
AUTH_SASHIM,Sae Shimamoto,,,,,
AUTH_SATACH,Saori Tachino,,,,,
AUTH_SCHENS,Scott Hensley,http://orcid.org/0000-0002-8846-2175,,,,
AUTH_SCORTM,Scott G. Ortman,http://orcid.org/0000-0003-0709-5287,,,,
AUTH_SESAMA,Sela Samath,,,,,
AUTH_SESOK,Serey Sok,http://orcid.org/0000-0002-3722-0125,,,,
AUTH_SHAGRA,Shefali Agrawal,,,,,
AUTH_SHALVA,Sharon Alvares,,,,,
AUTH_SHCHEN,Shanduo Chen,,,,,
AUTH_SHKUMA,Shashi Kumar,http://orcid.org/0000-0001-6215-8354,,,,
AUTH_SHSAKU,Shigeyoshi Sakurai,,,,,
AUTH_SHSTRA,Shane Strate,,,,,
AUTH_SHWANG,Shi-Yu Simon Wang,,,,,
AUTH_SHYAMA,Shunsuke Yamada,,,,,
AUTH_SIBERN,Simone Bernardini,http://orcid.org/0000-0003-0958-4893,,,,
AUTH_SICESC,Simona Ceschin,http://orcid.org/0000-0001-5964-1855,,,,
AUTH_SICHES,Simon Chesterman,http://orcid.org/0000-0002-3599-4573,,,,
AUTH_SIMACK,Simon Mackenzie,http://orcid.org/0000-0002-9294-4732,,,,
AUTH_SISIEG,Siegfried Siegesmund,http://orcid.org/0000-0002-5382-0622,,,,
AUTH_SIWARR,Simon Warrack,,,,,
AUTH_SOBAI,Songqiang Bai,,,,,
AUTH_SOBUCK,Solomon Buckman,http://orcid.org/0000-0001-5314-1331,,,,
AUTH_SOCHAN,Sovichetra Chan,,,,,
AUTH_IMSOKR,Im Sokrithy,,,,,
AUTH_SOSO,Sokuntheary So,,,,,
AUTH_SOTEP,Sokha Tep,,,,,
